,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.824,0.496,113.015,audio_features,33yAEqzKXexYM3WlOYtTfQ,spotify:track:33yAEqzKXexYM3WlOYtTfQ,https://api.spotify.com/v1/tracks/33yAEqzKXexYM3WlOYtTfQ,https://api.spotify.com/v1/audio-analysis/33yAEqzKXexYM3WlOYtTfQ,242267,4
1,0.791,0.613,1,-11.628,0,0.0763,0.0986,0.0,0.0765,0.896,143.017,audio_features,60R2v9lheAu3lwZwAFxMZK,spotify:track:60R2v9lheAu3lwZwAFxMZK,https://api.spotify.com/v1/tracks/60R2v9lheAu3lwZwAFxMZK,https://api.spotify.com/v1/audio-analysis/60R2v9lheAu3lwZwAFxMZK,170640,4
2,0.528,0.833,9,-6.19,1,0.0514,0.000414,1.23e-06,0.068,0.46,127.998,audio_features,0z4kyKuFGmUV7WQ7gB1sAp,spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,https://api.spotify.com/v1/tracks/0z4kyKuFGmUV7WQ7gB1sAp,https://api.spotify.com/v1/audio-analysis/0z4kyKuFGmUV7WQ7gB1sAp,204759,4
3,0.681,0.837,4,-8.907,1,0.041,0.0362,1.57e-06,0.0986,0.959,143.472,audio_features,1vzugDTXDgZCF0QQrzB5hX,spotify:track:1vzugDTXDgZCF0QQrzB5hX,https://api.spotify.com/v1/tracks/1vzugDTXDgZCF0QQrzB5hX,https://api.spotify.com/v1/audio-analysis/1vzugDTXDgZCF0QQrzB5hX,159333,4
4,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,audio_features,4mn2kNTqiGLwaUR8JdhJ1l,spotify:track:4mn2kNTqiGLwaUR8JdhJ1l,https://api.spotify.com/v1/tracks/4mn2kNTqiGLwaUR8JdhJ1l,https://api.spotify.com/v1/audio-analysis/4mn2kNTqiGLwaUR8JdhJ1l,269907,3
5,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4
6,0.763,0.719,5,-5.862,1,0.0712,0.0865,0.0,0.0935,0.85,146.977,audio_features,4PrYq1x0pv5WSMCiy6rp9o,spotify:track:4PrYq1x0pv5WSMCiy6rp9o,https://api.spotify.com/v1/tracks/4PrYq1x0pv5WSMCiy6rp9o,https://api.spotify.com/v1/audio-analysis/4PrYq1x0pv5WSMCiy6rp9o,141493,4
7,0.676,0.751,4,-6.985,0,0.0845,0.38,0.0,0.102,0.758,89.041,audio_features,0phAx12SI8oWN1AmhyceSQ,spotify:track:0phAx12SI8oWN1AmhyceSQ,https://api.spotify.com/v1/tracks/0phAx12SI8oWN1AmhyceSQ,https://api.spotify.com/v1/audio-analysis/0phAx12SI8oWN1AmhyceSQ,250600,4
8,0.594,0.468,2,-11.39,0,0.0492,0.0128,0.121,0.0714,0.678,107.482,audio_features,0cfwv1fgLrFntNR9aUgY5I,spotify:track:0cfwv1fgLrFntNR9aUgY5I,https://api.spotify.com/v1/tracks/0cfwv1fgLrFntNR9aUgY5I,https://api.spotify.com/v1/audio-analysis/0cfwv1fgLrFntNR9aUgY5I,333093,4
9,0.663,0.658,2,-10.001,1,0.0345,0.295,0.867,0.102,0.0532,117.986,audio_features,0Nc1rZEB2tZLgpxw5nkpEu,spotify:track:0Nc1rZEB2tZLgpxw5nkpEu,https://api.spotify.com/v1/tracks/0Nc1rZEB2tZLgpxw5nkpEu,https://api.spotify.com/v1/audio-analysis/0Nc1rZEB2tZLgpxw5nkpEu,390639,4
10,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,audio_features,5NORWMFC27ywGSZxi8uquP,spotify:track:5NORWMFC27ywGSZxi8uquP,https://api.spotify.com/v1/tracks/5NORWMFC27ywGSZxi8uquP,https://api.spotify.com/v1/audio-analysis/5NORWMFC27ywGSZxi8uquP,160097,4
11,0.757,0.333,9,-11.706,1,0.0293,0.684,0.212,0.106,0.928,95.582,audio_features,0vJ3Y2MnDXi4hpxSeQdQEC,spotify:track:0vJ3Y2MnDXi4hpxSeQdQEC,https://api.spotify.com/v1/tracks/0vJ3Y2MnDXi4hpxSeQdQEC,https://api.spotify.com/v1/audio-analysis/0vJ3Y2MnDXi4hpxSeQdQEC,152773,4
12,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,audio_features,3dYD57lRAUcMHufyqn9GcI,spotify:track:3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/tracks/3dYD57lRAUcMHufyqn9GcI,https://api.spotify.com/v1/audio-analysis/3dYD57lRAUcMHufyqn9GcI,241688,4
13,0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995,audio_features,2RiBogNRfulkNf7fVbPOrJ,spotify:track:2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/tracks/2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/audio-analysis/2RiBogNRfulkNf7fVbPOrJ,214720,4
14,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4
15,0.74,0.831,5,-7.321,1,0.0456,0.444,0.00304,0.0769,0.448,121.034,audio_features,6UqRGwjwYL0stXbaodTxwo,spotify:track:6UqRGwjwYL0stXbaodTxwo,https://api.spotify.com/v1/tracks/6UqRGwjwYL0stXbaodTxwo,https://api.spotify.com/v1/audio-analysis/6UqRGwjwYL0stXbaodTxwo,210853,4
16,0.796,0.467,6,-10.369,1,0.181,0.173,0.00411,0.126,0.516,107.901,audio_features,7eElVgPcxDqmgGrSwVFI74,spotify:track:7eElVgPcxDqmgGrSwVFI74,https://api.spotify.com/v1/tracks/7eElVgPcxDqmgGrSwVFI74,https://api.spotify.com/v1/audio-analysis/7eElVgPcxDqmgGrSwVFI74,197236,4
17,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/tracks/4RvWPyQ5RL0ao9LPZeSouE,https://api.spotify.com/v1/audio-analysis/4RvWPyQ5RL0ao9LPZeSouE,251489,4
18,0.907,0.244,5,-9.178,1,0.292,0.958,4.25e-06,0.0981,0.824,139.84,audio_features,1FeCQhO1BNOHOuwEnz1rCd,spotify:track:1FeCQhO1BNOHOuwEnz1rCd,https://api.spotify.com/v1/tracks/1FeCQhO1BNOHOuwEnz1rCd,https://api.spotify.com/v1/audio-analysis/1FeCQhO1BNOHOuwEnz1rCd,180819,4
